Site,Response_variable,Correlation_coefficient,Elevation,Mean_NDVI,Mean_temperature,Mean_humidity,Mean_annual_rainfall,Population_size,Population_under_5_yrs,Population_African_ancestry,House_piped_private,No_screens_on_windows,Cement_housing_materials,Other_housing_materials_mud,Wood_housing_materials,Insecticide_use,Bed_net_use
Chulaimbo,cases,0.44,1328,0.632835345,24,69,1125,7304,12,100,0.015643803,0.74488568,0.287234043,0.003191489,0,0,0.926594465
Chulaimbo,vectors,0.45,1328,0.632835345,24,69,1125,7304,12,100,0.015643803,0.74488568,0.287234043,0.003191489,0,0,0.926594465
Huaquillas,cases,0.6,15,0.223546552,26,81,317,57366,10,5.1,0.9,0.066666667,0.866666667,0,0,0.189,0.766666667
Huaquillas,vectors,0.63,15,0.223546552,26,81,317,57366,10,5.1,0.9,0.066666667,0.866666667,0,0,0.189,0.766666667
Kisumu,cases,0.51,1100,0.348883621,26,50,810,491893,12,100,0.039113429,0.780964798,0.768711311,0.000562746,0.000562746,0,0.920469361
Kisumu,vectors,0.48,1100,0.348883621,26,50,810,491893,12,100,0.039113429,0.780964798,0.768711311,0.000562746,0.000562746,0,0.920469361
Machala,cases,0.64,6,0.118757759,26,84,669,279887,9,6,0.906666667,0.6,0.866666667,0,0.053333333,0.275,0.546666667
Machala,vectors,0.63,6,0.118757759,26,84,669,279887,9,6,0.906666667,0.6,0.866666667,0,0.053333333,0.275,0.546666667
Msambweni,cases,0.57,4,0.333874138,28,76,1048,15371,13,100,0.029288703,0.427960057,0.376501502,0.000375375,0.001876877,0.106382979,0
Msambweni,vectors,0.28,4,0.333874138,28,76,1048,15371,13,100,0.029288703,0.427960057,0.376501502,0.000375375,0.001876877,0.106382979,0
Portovelo,cases,0.88,645,0.609431897,25,81,500,13673,9,3.3,1,0.906666667,0.946666667,0,0.053333333,0.456,0.146666667
Portovelo,vectors,0.66,645,0.609431897,25,81,500,13673,9,3.3,1,0.906666667,0.946666667,0,0.053333333,0.456,0.146666667
Ukunda,cases,0.78,8,0.516590517,28,78,922,80193,14,100,0.107107107,0.206793207,0.5145274,0,0.002206694,0.55,0.957042957
Ukunda,vectors,0.37,8,0.516590517,28,78,922,80193,14,100,0.107107107,0.206793207,0.5145274,0,0.002206694,0.55,0.957042957
Zaruma,cases,0.33,1155,0.569502586,22,86,1115,25615,8,2.9,0.955882353,0.985294118,0.926470588,0.044117647,0.014705882,0.365,0.212765957
Zaruma,vectors,0.85,1155,0.569502586,22,86,1115,25615,8,2.9,0.955882353,0.985294118,0.926470588,0.044117647,0.014705882,0.365,0.212765957
