"Country","Site","YearMonth","mean_adults_aegypti","mean_late_instar_aegypti","mean_early_instar_aegypti","mean_pupae_aegypti","mean_eggs_aegypti"
"Kenya","Chulaimbo","2014-01",0.06383,NA,NA,NA,NA
"Kenya","Chulaimbo","2014-02",0.05,0,1,0,17
"Kenya","Chulaimbo","2014-03",0.05,0,0,2,4
"Kenya","Chulaimbo","2014-04",0.3,1,1,1,8
"Kenya","Chulaimbo","2014-05",0.15,2,4,1,29
"Kenya","Chulaimbo","2014-06",0,0,0,0,62
"Kenya","Chulaimbo","2014-07",0.05,1,4,1,19
"Kenya","Chulaimbo","2014-08",0,0,2,0,19
"Kenya","Chulaimbo","2014-09",0,0,1,0,15
"Kenya","Chulaimbo","2014-10",0.25,3,2,0,25
"Kenya","Chulaimbo","2014-11",0.15,5,3,1,70
"Kenya","Chulaimbo","2014-12",0,1,1,0,16
"Kenya","Chulaimbo","2015-01",0.05,0,0,0,14
"Kenya","Chulaimbo","2015-02",0,0,0,0,6
"Kenya","Chulaimbo","2015-03",0.05,0,1,0,9
"Kenya","Chulaimbo","2015-04",0.15,2,3,0,30
"Kenya","Chulaimbo","2015-05",0.35,11,11,2,46
"Kenya","Chulaimbo","2015-06",0.65,10,18,2,31
"Kenya","Chulaimbo","2015-07",0.45,3,9,1,43
"Kenya","Chulaimbo","2015-08",0.55,13,60,2,34
"Kenya","Chulaimbo","2015-09",0.05,2,23,0,38
"Kenya","Chulaimbo","2015-10",0.3,2,11,0,38
"Kenya","Chulaimbo","2015-11",0.15,5,33,1,32
"Kenya","Chulaimbo","2015-12",0.4,10,42,1,43
"Kenya","Chulaimbo","2016-01",0.15,3,11,1,42
"Kenya","Chulaimbo","2016-02",0.1,7,22,1,17
"Kenya","Chulaimbo","2016-03",0.1,3,8,1,16
"Kenya","Chulaimbo","2016-04",0.2,10,35,3,55
"Kenya","Chulaimbo","2016-05",0.3,11,30,3,29
"Kenya","Chulaimbo","2016-06",0.35,3,15,0,37
"Kenya","Chulaimbo","2016-07",0.25,5,18,2,32
"Kenya","Chulaimbo","2016-08",0.2,4,15,1,15
"Kenya","Chulaimbo","2016-09",0.1,4,12,1,25
"Kenya","Chulaimbo","2016-10",0.1,2,8,0,26
"Kenya","Chulaimbo","2016-11",0.25,2,1,0,24
"Kenya","Chulaimbo","2016-12",0.3,11,16,2,41
"Kenya","Chulaimbo","2017-01",0.2,3,4,0,16
"Kenya","Chulaimbo","2017-02",0,9,19,1,22
"Kenya","Chulaimbo","2017-03",0.3,3,10,0,28
"Kenya","Chulaimbo","2017-04",0.1,3,10,0,29
"Kenya","Chulaimbo","2017-05",0.45,4,17,2,41
"Kenya","Chulaimbo","2017-06",0.35,4,11,1,26
"Kenya","Chulaimbo","2017-07",0.3,4,14,1,38
"Kenya","Chulaimbo","2017-08",0.25,5,13,1,15
"Kenya","Chulaimbo","2017-09",0.3,4,12,1,36
"Kenya","Chulaimbo","2017-10",0.2,3,10,0,23
"Kenya","Chulaimbo","2017-11",0.35,4,14,1,20
"Kenya","Chulaimbo","2017-12",0.25,3,13,1,28
"Kenya","Chulaimbo","2018-01",0.25,6,24,1,36
"Kenya","Chulaimbo","2018-02",0.15,1,3,1,17
"Kenya","Chulaimbo","2018-03",0.35,4,12,1,30
"Kenya","Chulaimbo","2018-04",0.3,17,55,7,42
"Kenya","Chulaimbo","2018-05",0.35,18,43,6,38
"Kenya","Chulaimbo","2018-06",0.4,16,38,5,56
"Kenya","Chulaimbo","2018-07",0.4,13,38,5,42
"Kenya","Chulaimbo","2018-08",0.25,11,28,4,25
"Kenya","Chulaimbo","2018-09",0.25,6,20,2,19
"Kenya","Chulaimbo","2018-10",0.3,8,20,1,20
"Ecuador","Huaquillas","2016-08",1.73077,NA,NA,NA,NA
"Ecuador","Huaquillas","2016-09",0.77333,NA,NA,NA,NA
"Ecuador","Huaquillas","2016-10",0.23077,NA,NA,NA,NA
"Ecuador","Huaquillas","2016-11",1.42105,NA,NA,NA,NA
"Ecuador","Huaquillas","2016-12",0.69565,NA,NA,NA,NA
"Ecuador","Huaquillas","2017-01",2.16071,NA,NA,NA,NA
"Ecuador","Huaquillas","2017-02",5.2037,NA,NA,NA,NA
"Ecuador","Huaquillas","2017-03",4.36792,NA,NA,NA,NA
"Ecuador","Huaquillas","2017-04",3.39726,NA,NA,NA,NA
"Ecuador","Huaquillas","2017-05",1.15909,NA,NA,NA,NA
"Ecuador","Huaquillas","2017-06",0.66667,NA,NA,NA,NA
"Ecuador","Huaquillas","2018-05",1.24771,NA,NA,NA,NA
"Ecuador","Huaquillas","2018-06",1.08333,NA,NA,NA,NA
"Ecuador","Huaquillas","2018-07",1.47059,NA,NA,NA,NA
"Ecuador","Huaquillas","2018-08",0.63235,NA,NA,NA,NA
"Kenya","Kisumu","2014-01",0,NA,NA,NA,NA
"Kenya","Kisumu","2014-06",0.3,0,0,0,29
"Kenya","Kisumu","2014-07",0.05,1,0,0,9
"Kenya","Kisumu","2014-08",0,0,0,0,12
"Kenya","Kisumu","2014-09",0.1,2,2,0,19
"Kenya","Kisumu","2014-10",0,2,1,0,12
"Kenya","Kisumu","2014-11",0.2,2,1,0,6
"Kenya","Kisumu","2014-12",0.05,2,1,1,9
"Kenya","Kisumu","2015-01",0.05,0,0,0,5
"Kenya","Kisumu","2015-02",0,0,1,0,12
"Kenya","Kisumu","2015-03",0,0,0,0,10
"Kenya","Kisumu","2015-04",0.05,6,6,1,23
"Kenya","Kisumu","2015-05",0.55,7,17,1,36
"Kenya","Kisumu","2015-06",0.3,6,13,2,33
"Kenya","Kisumu","2015-07",0.45,6,19,1,44
"Kenya","Kisumu","2015-08",0.2,2,8,0,28
"Kenya","Kisumu","2015-09",0.4,2,16,0,33
"Kenya","Kisumu","2015-10",0.6,7,35,2,34
"Kenya","Kisumu","2015-11",0.8,2,23,0,41
"Kenya","Kisumu","2015-12",0.6,5,14,1,32
"Kenya","Kisumu","2016-01",0.3,5,15,1,33
"Kenya","Kisumu","2016-02",0.3,0,1,0,20
"Kenya","Kisumu","2016-03",0.5,3,7,1,22
"Kenya","Kisumu","2016-04",0.9,8,32,2,47
"Kenya","Kisumu","2016-05",1.1,8,18,2,34
"Kenya","Kisumu","2016-06",0.85,6,19,3,36
"Kenya","Kisumu","2016-07",0.65,8,20,2,38
"Kenya","Kisumu","2016-08",0.2,4,8,1,23
"Kenya","Kisumu","2016-09",0.3,3,6,1,16
"Kenya","Kisumu","2016-10",0.1,3,9,1,26
"Kenya","Kisumu","2016-11",0.1,2,3,0,34
"Kenya","Kisumu","2016-12",0.25,2,2,0,33
"Kenya","Kisumu","2017-01",0.1,0,0,0,8
"Kenya","Kisumu","2017-02",0.2,3,10,1,28
"Kenya","Kisumu","2017-03",1.6,4,9,1,28
"Kenya","Kisumu","2017-04",0.75,3,6,1,27
"Kenya","Kisumu","2017-05",1.35,6,20,2,32
"Kenya","Kisumu","2017-06",0.45,5,18,1,22
"Kenya","Kisumu","2017-07",0.35,4,14,2,35
